Characteristic,"Overall
(N=541)","Surgery
(N=269)","No Surgery
(N=272)",p-value
AGE,,,,0.146
  Median (IQR),63 (52–72),62 (51–71),63 (54–73),
  <40,48 (8.9%),25 (9.3%),23 (8.5%),
  40-49,67 (12.4%),38 (14.1%),29 (10.7%),
  50-59,121 (22.4%),58 (21.6%),63 (23.2%),
  60-69,145 (26.8%),77 (28.6%),68 (25.0%),
  ≥70,160 (29.6%),71 (26.4%),89 (32.7%),
SEX,,,,0.825
  Male,259 (47.9%),127 (47.2%),132 (48.5%),
  Female,282 (52.1%),142 (52.8%),140 (51.5%),
RACE,,,,0.208
  White,428 (79.1%),220 (81.8%),208 (76.5%),
  Black/African American,70 (12.9%),28 (10.4%),42 (15.4%),
  Other/Unknown,43 (7.9%),21 (7.8%),22 (8.1%),
INSURANCE STATUS,,,,0.235
  Private,197 (36.4%),108 (40.1%),89 (32.7%),
  Medicare,229 (42.3%),111 (41.3%),118 (43.4%),
  Medicaid,48 (8.9%),20 (7.4%),28 (10.3%),
  Uninsured,38 (7.0%),14 (5.2%),24 (8.8%),
  Other government,11 (2.0%),7 (2.6%),4 (1.5%),
  Unknown,18 (3.3%),9 (3.3%),9 (3.3%),
CHARLSON-DEYO SCORE,,,,0.128
  0,447 (82.6%),227 (84.4%),220 (80.9%),
  1,76 (14.0%),38 (14.1%),38 (14.0%),
  2,8 (1.5%),2 (0.7%),6 (2.2%),
  ≥3,10 (1.8%),2 (0.7%),8 (2.9%),
FACILITY TYPE,,,,0.103
  Academic/Research,287 (53.0%),157 (58.4%),130 (47.8%),
  Comprehensive Community,117 (21.6%),48 (17.8%),69 (25.4%),
  Integrated Network,68 (12.6%),30 (11.2%),38 (14.0%),
  Community,23 (4.3%),10 (3.7%),13 (4.8%),
  Unknown,46 (8.5%),24 (8.9%),22 (8.1%),
PRIMARY SITE,,,,0.621
  Major Salivary Gland,307 (56.7%),156 (58.0%),151 (55.5%),
  Minor Salivary Gland,234 (43.3%),113 (42.0%),121 (44.5%),
RADIATION,,,,0.058
  Yes,315 (58.2%),168 (62.5%),147 (54.0%),
  No/Unknown,226 (41.8%),101 (37.5%),125 (46.0%),
CHEMOTHERAPY,,,,<0.001
  Yes,168 (31.1%),61 (22.7%),107 (39.3%),
  No/Unknown,373 (68.9%),208 (77.3%),165 (60.7%),
OUTCOMES,,,,
"  Median OS, months (IQR)",29 (10–65),42 (17–83),19 (8–44),<0.001
"  Deaths, n (%)",449 (83.0%),222 (82.5%),227 (83.5%),
