Subgroup,N,n_Surgery,n_NoSurgery,HR,95% CI,p-value
Overall,541,269,272,0.65,0.54–0.77,<0.001
Age <60,224,116,108,0.60,0.45–0.80,<0.001
Age ≥60,317,153,164,0.69,0.55–0.87,0.001
Male,259,127,132,0.50,0.39–0.64,<0.001
Female,282,142,140,0.78,0.60–1.00,0.048
White,428,220,208,0.70,0.57–0.85,<0.001
Black,70,28,42,0.50,0.30–0.83,0.008
Major salivary gland,307,156,151,0.73,0.58–0.92,0.009
Minor salivary gland,234,113,121,0.53,0.40–0.70,<0.001
Academic center,287,157,130,0.61,0.48–0.78,<0.001
Non-academic center,208,88,120,0.67,0.51–0.90,0.007
Charlson = 0,447,227,220,0.64,0.53–0.78,<0.001
Charlson ≥ 1,94,42,52,0.64,0.42–0.98,0.038
With Radiation,315,168,147,0.56,0.44–0.70,<0.001
Without Radiation,226,101,125,0.77,0.58–1.01,0.061
