Metric,Surgical Patients (N=269),Notes
SURGICAL EXTENT,,
  Local Excision,67 (24.9%),
  Less than Total Parotidectomy,63 (23.4%),
  Total Parotidectomy,101 (37.5%),
  Radical Parotidectomy,19 (7.1%),
  Parotidectomy NOS,4 (1.5%),
  Surgery NOS,15 (5.6%),
SURGICAL MARGINS,,
  Negative (R0),97 (36.1%),
  Microscopic positive (R1),62 (23.0%),
  Macroscopic positive (R2),74 (27.5%),
  Not evaluable,7 (2.6%),
  Unknown,21 (7.8%),
ADJUVANT THERAPY (among surgical patients),,
  Adjuvant radiation,168 (62.5%),
  Adjuvant chemotherapy,61 (22.7%),
  Both radiation + chemo,42 (15.6%),
  No adjuvant therapy,82 (30.5%),
